Info    2000-01-01 08:07:26  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(Manager.cpp-L0097)     Description:Current dynamic library path[/root/dart_ws/install/hik_camera/lib/libMvUsb3vTL.so]     Solution:
Info    2000-01-01 08:07:26  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(Manager.cpp-L0100)     Description:U3V_Version: 3.2.0.3     Solution:
Info    2000-01-01 08:07:26  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(Manager.cpp-L0101)     Description:U3V_Description: BaseLine Build 20210715     Solution:
Info    2000-01-01 08:07:26  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0397)     Description:device speed: [0x4]     Solution:
Info    2000-01-01 08:07:27  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(Manager.cpp-L0368)     Description:[IsSupportEvent]     Solution:
Info    2000-01-01 08:07:27  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0707)     Description:U3V EventSendThread Start     Solution:
Info    2000-01-01 08:07:27  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0280)     Description:U3V EventRecvThread Start     Solution:
Info    2000-01-01 08:07:27  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(StreamProcess.cpp-L1003)     Description:U3V RecvThread Start     Solution:
Info    2000-01-01 08:07:27  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DeviceControl.cpp-L1275)     Description:AcquisitionStart Execute Success     Solution:
Warning 2000-01-01 08:07:27  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(StreamProcess.cpp-L1426)     Description:Delete one DataNode     Solution:Please confirm that there is a blocking operation when you grab frame
Warning 2000-01-01 08:07:27  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(StreamProcess.cpp-L0844)     Description:[GetOneFrame] PreFrameNum[0], CurFrameNum[2]     Solution:
